subjectSlug,subjectName,classLevel,department,topic,difficulty,stem,optionA,optionB,optionC,optionD,correctIndex,explanation,source
mathematics,Mathematics,ss2,general,Fractions,2,Add and simplify: 4/6 + 1/8,19/25,5/14,19/24,20/24,2,4/6 + 1/8 = 19/24.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,2,Add and simplify: 9/12 + 9/12,3/2,18/24,4/2,3/3,0,9/12 + 9/12 = 3/2.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,2,Add and simplify: 1/5 + 2/5,4/5,3/10,3/5,3/6,2,1/5 + 2/5 = 3/5.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,2,Add and simplify: 5/12 + 2/4,12/12,11/13,7/16,11/12,3,5/12 + 2/4 = 11/12.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,1,Express 7/12 as a mixed number,7 12/7,0 8/12,0 7/12,1 7/12,2,7 ÷ 12 gives 0 remainder 7.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,1,Express 5/5 as a mixed number,2 0/5,1 1/5,5 5/1,1,3,5 ÷ 5 gives 1 remainder 0.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,1,Express 8/6 as a mixed number,2 1/6,1 2/6,8 6/1,1 1/6,3,8 ÷ 6 gives 1 remainder 1.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,1,Express 2/8 as a mixed number,2 8/1,0 1/8,0 2/8,1 1/8,1,2 ÷ 8 gives 0 remainder 1.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,1,Express 3/6 as a mixed number,3 6/1,1 1/6,0 2/6,0 1/6,3,3 ÷ 6 gives 0 remainder 1.,jamb-style
mathematics,Mathematics,ss2,general,Fractions,1,Express 3/9 as a mixed number,0 2/9,1 1/9,3 9/1,0 1/9,3,3 ÷ 9 gives 0 remainder 1.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 10% of 500,100,60,0,50,3,10% × 500 = 50.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 40% of 40,12,20,26,16,3,40% × 40 = 16.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 25% of 120,18,42,30,40,2,25% × 120 = 30.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 40% of 80,32,24,40,42,0,40% × 80 = 32.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 75% of 40,30,34,26,40,0,75% × 40 = 30.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 75% of 120,102,90,78,100,1,75% × 120 = 90.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 40% of 240,72,106,96,120,2,40% × 240 = 96.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 40% of 600,180,250,240,300,2,40% × 600 = 240.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 40% of 500,250,150,200,210,2,40% × 500 = 200.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 5% of 80,-4,9,4,12,2,5% × 80 = 4.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 60% of 240,154,120,144,168,2,60% × 240 = 144.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 60% of 80,40,56,58,48,3,60% × 80 = 48.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 20% of 500,150,110,50,100,3,20% × 500 = 100.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,1,Find 25% of 300,85,45,75,105,2,25% × 300 = 75.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦1200 and increases the price by 5%. New price?,₦60,₦1260,₦1140,₦1360,1,Increase = 5% × 1200 = ₦60; new price = ₦1260.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦250 and increases the price by 20%. New price?,₦200,₦400,₦300,₦50,2,Increase = 20% × 250 = ₦50; new price = ₦300.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦1500 and increases the price by 10%. New price?,₦1650,₦1350,₦150,₦1750,0,Increase = 10% × 1500 = ₦150; new price = ₦1650.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦1500 and increases the price by 25%. New price?,₦1875,₦375,₦1975,₦1125,0,Increase = 25% × 1500 = ₦375; new price = ₦1875.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦1200 and increases the price by 25%. New price?,₦900,₦1500,₦300,₦1600,1,Increase = 25% × 1200 = ₦300; new price = ₦1500.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦200 and increases the price by 25%. New price?,₦50,₦350,₦250,₦150,2,Increase = 25% × 200 = ₦50; new price = ₦250.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦400 and increases the price by 20%. New price?,₦480,₦320,₦80,₦580,0,Increase = 20% × 400 = ₦80; new price = ₦480.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦400 and increases the price by 5%. New price?,₦420,₦20,₦380,₦520,0,Increase = 5% × 400 = ₦20; new price = ₦420.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦400 and increases the price by 25%. New price?,₦100,₦600,₦500,₦300,2,Increase = 25% × 400 = ₦100; new price = ₦500.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦2000 and increases the price by 20%. New price?,₦400,₦2400,₦1600,₦2500,1,Increase = 20% × 2000 = ₦400; new price = ₦2400.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦5000 and increases the price by 5%. New price?,₦250,₦4750,₦5250,₦5350,2,Increase = 5% × 5000 = ₦250; new price = ₦5250.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦1200 and increases the price by 20%. New price?,₦1540,₦960,₦1440,₦240,2,Increase = 20% × 1200 = ₦240; new price = ₦1440.,jamb-style
mathematics,Mathematics,ss2,general,Percentage,2,A trader buys an item for ₦2500 and increases the price by 20%. New price?,₦2000,₦3000,₦500,₦3100,1,Increase = 20% × 2500 = ₦500; new price = ₦3000.,jamb-style
mathematics,Mathematics,ss2,general,Ratio,2,₦33 is shared between Ada and Bola in the ratio 5:6. Ada gets?,₦18,₦16,₦15,₦115,2,Total parts = 11; one part = ₦3; Ada = 5 × ₦3 = ₦15.,jamb-style
mathematics,Mathematics,ss2,general,Ratio,2,₦30 is shared between Ada and Bola in the ratio 2:4. Ada gets?,₦10,₦20,₦110,₦15,0,Total parts = 6; one part = ₦5; Ada = 2 × ₦5 = ₦10.,jamb-style
mathematics,Mathematics,ss2,general,Ratio,2,₦21 is shared between Ada and Bola in the ratio 5:2. Ada gets?,₦10,₦115,₦15,₦6,2,Total parts = 7; one part = ₦3; Ada = 5 × ₦3 = ₦15.,jamb-style
mathematics,Mathematics,ss2,general,Ratio,2,₦36 is shared between Ada and Bola in the ratio 6:3. Ada gets?,₦24,₦124,₦12,₦18,0,Total parts = 9; one part = ₦4; Ada = 6 × ₦4 = ₦24.,jamb-style
mathematics,Mathematics,ss2,general,Ratio,2,₦30 is shared between Ada and Bola in the ratio 4:2. Ada gets?,₦15,₦10,₦20,₦120,2,Total parts = 6; one part = ₦5; Ada = 4 × ₦5 = ₦20.,jamb-style
mathematics,Mathematics,ss2,general,Ratio,2,₦32 is shared between Ada and Bola in the ratio 5:3. Ada gets?,₦20,₦16,₦120,₦12,0,Total parts = 8; one part = ₦4; Ada = 5 × ₦4 = ₦20.,jamb-style
mathematics,Mathematics,ss2,general,Ratio,2,₦50 is shared between Ada and Bola in the ratio 6:4. Ada gets?,₦25,₦130,₦20,₦30,3,Total parts = 10; one part = ₦5; Ada = 6 × ₦5 = ₦30.,jamb-style
mathematics,Mathematics,ss2,general,Ratio,2,₦40 is shared between Ada and Bola in the ratio 5:3. Ada gets?,₦15,₦20,₦25,₦125,2,Total parts = 8; one part = ₦5; Ada = 5 × ₦5 = ₦25.,jamb-style
mathematics,Mathematics,ss2,general,Ratio,2,₦24 is shared between Ada and Bola in the ratio 2:6. Ada gets?,₦6,₦18,₦12,₦106,0,Total parts = 8; one part = ₦3; Ada = 2 × ₦3 = ₦6.,jamb-style
mathematics,Mathematics,ss2,general,Ratio,2,₦40 is shared between Ada and Bola in the ratio 2:6. Ada gets?,₦20,₦110,₦10,₦30,2,Total parts = 8; one part = ₦5; Ada = 2 × ₦5 = ₦10.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,1,Find the HCF of 20 and 16,5,6,3,4,3,The highest common factor of 20 and 16 is 4.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,1,Find the HCF of 8 and 9,4,1,2,8,1,The highest common factor of 8 and 9 is 1.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,1,Find the HCF of 12 and 18,7,5,8,6,3,The highest common factor of 12 and 18 is 6.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,1,Find the HCF of 20 and 23,4,1,2,8,1,The highest common factor of 20 and 23 is 1.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,1,Find the HCF of 10 and 21,2,4,1,8,2,The highest common factor of 10 and 21 is 1.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,1,Find the HCF of 16 and 16,15,16,17,18,1,The highest common factor of 16 and 16 is 16.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,2,Find the LCM of 5 and 7,35,47,40,42,0,LCM = (5 × 7) ÷ HCF(1) = 35.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,2,Find the LCM of 13 and 8,125,104,112,117,1,LCM = (13 × 8) ÷ HCF(1) = 104.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,2,Find the LCM of 5 and 8,45,48,53,40,3,LCM = (5 × 8) ÷ HCF(1) = 40.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,2,Find the LCM of 10 and 4,30,24,34,20,3,LCM = (10 × 4) ÷ HCF(2) = 20.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,2,Find the LCM of 6 and 10,30,36,46,40,0,LCM = (6 × 10) ÷ HCF(2) = 30.,jamb-style
mathematics,Mathematics,ss2,general,LCM & HCF,2,Find the LCM of 6 and 12,18,24,12,30,2,LCM = (6 × 12) ÷ HCF(6) = 12.,jamb-style
mathematics,Mathematics,ss2,general,Number Bases,2,Convert 20 to base 2,10011,10101,101000,10100,3,20 in base 2 is 10100.,jamb-style
mathematics,Mathematics,ss2,general,Number Bases,2,Convert 59 to base 2,111011,111100,111010,1110110,0,59 in base 2 is 111011.,jamb-style
mathematics,Mathematics,ss2,general,Number Bases,2,Convert 55 to base 2,110110,111000,110111,1101110,2,55 in base 2 is 110111.,jamb-style
mathematics,Mathematics,ss2,general,Number Bases,2,Convert 31 to base 2,100000,11110,111110,11111,3,31 in base 2 is 11111.,jamb-style
mathematics,Mathematics,ss2,general,Number Bases,2,Convert 41 to base 2,101010,101001,1010010,101000,1,41 in base 2 is 101001.,jamb-style
mathematics,Mathematics,ss2,general,Number Bases,2,Convert 100111 (base 2) to base 10,38,40,41,39,3,100111 = 39 in base 10.,jamb-style
mathematics,Mathematics,ss2,general,Number Bases,2,Convert 1010 (base 2) to base 10,9,11,10,12,2,1010 = 10 in base 10.,jamb-style
mathematics,Mathematics,ss2,general,Number Bases,2,Convert 1000 (base 2) to base 10,8,9,7,10,0,1000 = 8 in base 10.,jamb-style
mathematics,Mathematics,ss2,general,Number Bases,2,Convert 111100 (base 2) to base 10,60,59,61,62,0,111100 = 60 in base 10.,jamb-style
mathematics,Mathematics,ss2,general,Number Bases,2,Convert 101110 (base 2) to base 10,46,48,47,45,0,101110 = 46 in base 10.,jamb-style
mathematics,Mathematics,ss2,general,Indices,2,Simplify: x^3 × x^3,x^1,x^9,x^6,x^7,2,"When multiplying, add indices: x^3 × x^3 = x^(3+3) = x^6.",jamb-style
mathematics,Mathematics,ss2,general,Indices,2,Simplify: x^5 × x^4,x^1,x^20,x^10,x^9,3,"When multiplying, add indices: x^5 × x^4 = x^(5+4) = x^9.",jamb-style
mathematics,Mathematics,ss2,general,Indices,2,Simplify: x^3 × x^5,x^15,x^9,x^2,x^8,3,"When multiplying, add indices: x^3 × x^5 = x^(3+5) = x^8.",jamb-style
mathematics,Mathematics,ss2,general,Indices,2,Simplify: x^2 × x^2,x^1,x^40,x^4,x^5,2,"When multiplying, add indices: x^2 × x^2 = x^(2+2) = x^4.",jamb-style
mathematics,Mathematics,ss2,general,Indices,2,Simplify: x^2 × x^3,x^5,x^1,x^6,x^50,0,"When multiplying, add indices: x^2 × x^3 = x^(2+3) = x^5.",jamb-style
mathematics,Mathematics,ss2,general,Indices,2,Simplify: √4,2,1,4,3,0,√4 = 2 because 2² = 4.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 2x + 1 = 9,x = 5,x = 4,x = 3,x = 9,1,2x = 9 − 1 = 8; x = 8 ÷ 2 = 4.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 5x + 8 = 48,x = 8,x = 7,x = 9,x = 48,0,5x = 48 − 8 = 40; x = 40 ÷ 5 = 8.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 6x + 1 = 13,x = 3,x = 1,x = 2,x = 13,2,6x = 13 − 1 = 12; x = 12 ÷ 6 = 2.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 8x + 18 = 34,x = 34,x = 2,x = 1,x = 3,1,8x = 34 − 18 = 16; x = 16 ÷ 8 = 2.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 5x + 15 = 45,x = 45,x = 6,x = 5,x = 7,1,5x = 45 − 15 = 30; x = 30 ÷ 5 = 6.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 6x + 6 = 72,x = 11,x = 12,x = 10,x = 72,0,6x = 72 − 6 = 66; x = 66 ÷ 6 = 11.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 8x + 4 = 28,x = 28,x = 2,x = 4,x = 3,3,8x = 28 − 4 = 24; x = 24 ÷ 8 = 3.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 6x + 15 = 57,x = 8,x = 6,x = 7,x = 57,2,6x = 57 − 15 = 42; x = 42 ÷ 6 = 7.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 5x + 3 = 33,x = 7,x = 33,x = 6,x = 5,2,5x = 33 − 3 = 30; x = 30 ÷ 5 = 6.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 6x + 7 = 67,x = 11,x = 67,x = 9,x = 10,3,6x = 67 − 7 = 60; x = 60 ÷ 6 = 10.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 7x + 6 = 48,x = 6,x = 48,x = 5,x = 7,0,7x = 48 − 6 = 42; x = 42 ÷ 7 = 6.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 8x + 4 = 92,x = 11,x = 10,x = 92,x = 12,0,8x = 92 − 4 = 88; x = 88 ÷ 8 = 11.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 4x + 17 = 61,x = 61,x = 11,x = 10,x = 12,1,4x = 61 − 17 = 44; x = 44 ÷ 4 = 11.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 7x + 6 = 41,x = 41,x = 6,x = 5,x = 4,2,7x = 41 − 6 = 35; x = 35 ÷ 7 = 5.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 2x + 9 = 19,x = 6,x = 19,x = 5,x = 4,2,2x = 19 − 9 = 10; x = 10 ÷ 2 = 5.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,1,Solve: 6x + 3 = 57,x = 9,x = 8,x = 10,x = 57,0,6x = 57 − 3 = 54; x = 54 ÷ 6 = 9.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 3x − 13 = -1,x = 4,x = 3,x = 13,x = 5,0,3x = -1 + 13 = 12; x = 4.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 5x − 4 = 41,x = 10,x = 4,x = 9,x = 8,2,5x = 41 + 4 = 45; x = 9.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 2x − 2 = 8,x = 4,x = 6,x = 2,x = 5,3,2x = 8 + 2 = 10; x = 5.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 3x − 12 = 9,x = 12,x = 7,x = 8,x = 6,1,3x = 9 + 12 = 21; x = 7.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 7x − 8 = 55,x = 90,x = 9,x = 8,x = 10,1,7x = 55 + 8 = 63; x = 9.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 3x − 14 = 1,x = 5,x = 6,x = 4,x = 14,0,3x = 1 + 14 = 15; x = 5.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 2x − 3 = 9,x = 3,x = 7,x = 5,x = 6,3,2x = 9 + 3 = 12; x = 6.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 6x − 11 = 43,x = 8,x = 10,x = 9,x = 11,2,6x = 43 + 11 = 54; x = 9.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 7x − 7 = 49,x = 9,x = 7,x = 80,x = 8,3,7x = 49 + 7 = 56; x = 8.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 6x − 5 = 13,x = 3,x = 5,x = 2,x = 4,0,6x = 13 + 5 = 18; x = 3.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 3x − 3 = 9,x = 5,x = 4,x = 3,x = 40,1,3x = 9 + 3 = 12; x = 4.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 7x − 6 = 50,x = 6,x = 9,x = 8,x = 7,2,7x = 50 + 6 = 56; x = 8.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 6x − 5 = 25,x = 6,x = 5,x = 50,x = 4,1,6x = 25 + 5 = 30; x = 5.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 6x − 8 = 22,x = 8,x = 4,x = 5,x = 6,2,6x = 22 + 8 = 30; x = 5.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 6x − 11 = 1,x = 3,x = 1,x = 2,x = 11,2,6x = 1 + 11 = 12; x = 2.,jamb-style
mathematics,Mathematics,ss2,general,Linear Equations,2,Solve: 4x − 10 = 22,x = 10,x = 7,x = 8,x = 9,2,4x = 22 + 10 = 32; x = 8.,jamb-style
mathematics,Mathematics,ss2,general,Simultaneous Equations,3,"If 3x + 1y = 17 and 2x + 2y = 18, find x.",x = 40,x = 5,x = 6,x = 4,3,Solving the pair gives x = 4 (and y = 5).,jamb-style
mathematics,Mathematics,ss2,general,Simultaneous Equations,3,"If 1x + 1y = 4 and 3x + 1y = 6, find x.",x = 1,x = 3,x = 10,x = 2,0,Solving the pair gives x = 1 (and y = 3).,jamb-style
mathematics,Mathematics,ss2,general,Simultaneous Equations,3,"If 3x + 3y = 21 and 1x + 2y = 11, find x.",x = 30,x = 4,x = 5,x = 3,3,Solving the pair gives x = 3 (and y = 4).,jamb-style
mathematics,Mathematics,ss2,general,Simultaneous Equations,3,"If 3x + 3y = 24 and 3x + 2y = 21, find x.",x = 6,x = 5,x = 7,x = 3,1,Solving the pair gives x = 5 (and y = 3).,jamb-style
mathematics,Mathematics,ss2,general,Simultaneous Equations,3,"If 2x + 1y = 9 and 3x + 2y = 14, find x.",x = 4,x = 1,x = 6,x = 5,0,Solving the pair gives x = 4 (and y = 1).,jamb-style
mathematics,Mathematics,ss2,general,Simultaneous Equations,3,"If 3x + 3y = 18 and 2x + 1y = 9, find x.",x = 3,x = 30,x = 4,x = 5,0,Solving the pair gives x = 3 (and y = 3).,jamb-style
mathematics,Mathematics,ss2,general,Simultaneous Equations,3,"If 3x + 2y = 15 and 1x + 3y = 12, find x.",x = 3,x = 4,x = 5,x = 30,0,Solving the pair gives x = 3 (and y = 3).,jamb-style
mathematics,Mathematics,ss2,general,Simultaneous Equations,3,"If 1x + 1y = 5 and 2x + 1y = 7, find x.",x = 2,x = 20,x = 4,x = 3,0,Solving the pair gives x = 2 (and y = 3).,jamb-style
mathematics,Mathematics,ss2,general,Quadratic Equations,3,Factorise: 1x² − 5x + 6,(x + 3)(x + 2),(x - 3)(x + 3),(x - 4)(x - 2),(x - 3)(x - 2),3,"Roots are 3 and 2, so the factors are as shown.",jamb-style
mathematics,Mathematics,ss2,general,Quadratic Equations,3,Factorise: 1x² + 5x + 6,(x + 2)(x - 4),(x + 2)(x + 3),(x + 3)(x + 3),(x - 2)(x - 3),1,"Roots are -2 and -3, so the factors are as shown.",jamb-style
mathematics,Mathematics,ss2,general,Quadratic Equations,3,Factorise: 1x² − 7x + 12,(x - 5)(x - 3),(x + 4)(x + 3),(x - 4)(x + 4),(x - 4)(x - 3),3,"Roots are 4 and 3, so the factors are as shown.",jamb-style
mathematics,Mathematics,ss2,general,Quadratic Equations,3,Factorise: 1x² − 9x + 20,(x + 5)(x + 4),(x - 5)(x - 4),(x - 5)(x + 5),(x - 6)(x - 4),1,"Roots are 5 and 4, so the factors are as shown.",jamb-style
mathematics,Mathematics,ss2,general,Quadratic Equations,3,Factorise: 1x² + 3x − 10,(x - 2)(x - 6),(x - 2)(x + 5),(x + 2)(x - 5),(x - 3)(x + 5),1,"Roots are 2 and -5, so the factors are as shown.",jamb-style
mathematics,Mathematics,ss2,general,Quadratic Equations,3,Factorise: 1x² − 2x − 15,(x - 5)(x - 4),(x - 6)(x + 3),(x + 5)(x - 3),(x - 5)(x + 3),3,"Roots are 5 and -3, so the factors are as shown.",jamb-style
mathematics,Mathematics,ss2,general,Quadratic Equations,3,Factorise: 2x² + 5x + 3,(x + 2)(x + 1),(x + 1)(x + 1),(x - 1)(x - 1),(x + 1)(x - 2),1,"Roots are -1 and -1, so the factors are as shown.",jamb-style
mathematics,Mathematics,ss2,general,Quadratic Equations,3,Factorise: 3x² + 7x + 2,(x + 0)(x + 2),(x + 0)(x - 3),(x + 1)(x + 2),(x - 0)(x - 2),0,"Roots are 0 and -2, so the factors are as shown.",jamb-style
mathematics,Mathematics,ss2,general,Mensuration,1,A rectangle is 13 cm by 13 cm. Area?,26 cm²,169 cm²,52 cm²,171 cm²,1,Area = 13 × 13 = 169 cm².,jamb-style
mathematics,Mathematics,ss2,general,Mensuration,1,A rectangle is 18 cm by 12 cm. Area?,30 cm²,216 cm²,60 cm²,218 cm²,1,Area = 18 × 12 = 216 cm².,jamb-style
mathematics,Mathematics,ss2,general,Mensuration,1,A rectangle is 4 cm by 11 cm. Area?,30 cm²,15 cm²,46 cm²,44 cm²,3,Area = 4 × 11 = 44 cm².,jamb-style
mathematics,Mathematics,ss2,general,Mensuration,1,A rectangle is 14 cm by 8 cm. Area?,22 cm²,112 cm²,114 cm²,44 cm²,1,Area = 14 × 8 = 112 cm².,jamb-style
mathematics,Mathematics,ss2,general,Mensuration,1,A rectangle is 6 cm by 14 cm. Area?,84 cm²,86 cm²,20 cm²,40 cm²,0,Area = 6 × 14 = 84 cm².,jamb-style
mathematics,Mathematics,ss2,general,Mensuration,1,A rectangle is 11 cm by 8 cm. Perimeter?,38 cm,88 cm,30 cm,19 cm,0,Perimeter = 2(11 + 8) = 38 cm.,jamb-style
mathematics,Mathematics,ss2,general,Mensuration,1,A rectangle is 6 cm by 14 cm. Perimeter?,20 cm,26 cm,84 cm,40 cm,3,Perimeter = 2(6 + 14) = 40 cm.,jamb-style
mathematics,Mathematics,ss2,general,Mensuration,1,A rectangle is 8 cm by 7 cm. Perimeter?,23 cm,30 cm,15 cm,56 cm,1,Perimeter = 2(8 + 7) = 30 cm.,jamb-style
